Gene,FT 15d,FT 25d,FT 55d,FT 85d,FT 115d,FS 145d
Pbr000619.1,50921000.0,701320000.0,487030000.0,255250000.0,109660000.0,117630000.0
Pbr000620.1,13860000000.0,18269000000.0,30573000000.0,23592000000.0,22284000000.0,28544000000.0
Pbr000621.2,4640100000.0,3443200000.0,1379500000.0,3590300000.0,615210000.0,3194300000.0
Pbr000622.1,237390000.0,141770000.0,383330000.0,627920000.0,481490000.0,530090000.0
Pbr000624.1,,,,,,
Pbr000642.1,138700000.0,306700000.0,189720000.0,71951000.0,47696000.0,42471000.0
Pbr000643.1,524700000.0,927800000.0,181490000.0,79278000.0,,
Pbr000647.1,242530000.0,230920000.0,370210000.0,224420000.0,467880000.0,404560000.0
Pbr000648.1,22452000000.0,13421000000.0,13887000000.0,13444000000.0,7452400000.0,9278700000.0
Pbr000653.1,,204010000.0,,,,
Pbr000654.1,884950000.0,480440000.0,,,,
Pbr000658.1,2835500000.0,1728500000.0,1843100000.0,2242700000.0,1510400000.0,1688100000.0
Pbr000659.1,10397000000.0,9354500000.0,9449900000.0,10419000000.0,12667000000.0,12482000000.0
Pbr000660.1,205530000.0,198510000.0,520730000.0,255670000.0,11037000.0,29974000.0
Pbr000664.1,,,,,,
Pbr000672.1,897120000.0,,,622690000.0,197570000.0,578720000.0
Pbr000674.1,,,,,,
Pbr000675.3,,,,,,
Pbr000678.1,167360000.0,570080000.0,615200000.0,681290000.0,140620000.0,156280000.0
Pbr000679.1,,,84268000.0,92126000.0,174980000.0,
Pbr000682.1,,,,,,
Pbr000683.1,9946400000.0,14557000000.0,11577000000.0,8236700000.0,7102500000.0,6515000000.0
Pbr000684.1,,,,,,
Pbr000686.1,,,,,,
Pbr000687.1,88631000.0,54489000.0,,,,
Pbr000689.1,3466000000.0,399450000.0,618330000.0,1197200000.0,1111800000.0,1425500000.0
Pbr000691.1,32041000000.0,28089000000.0,30376000000.0,15044000000.0,15064000000.0,18796000000.0
Pbr000692.1,,64371000.0,70766000.0,,,15443000.0
Pbr000694.1,2589500000.0,2810000000.0,3013500000.0,1758100000.0,1250000000.0,2165600000.0
Pbr000696.1,,,,,,23758000.0
Pbr000699.2,,,,,,
Pbr000701.1,,,,,,
Pbr000702.1,839940000.0,1136500000.0,549480000.0,275960000.0,121210000.0,195170000.0
Pbr000708.2,,,,,,
Pbr000709.1,,,,,,
Pbr000712.1,24302000000.0,16713000000.0,9751700000.0,4514400000.0,118940000.0,322910000.0
Pbr000715.1,,102410000.0,,,,
Pbr000717.1,147320000.0,137700000.0,23092000.0,,,
Pbr000722.1,203990000.0,246250000.0,254050000.0,282690000.0,433250000.0,333650000.0
Pbr000723.1,2249200000.0,3826400000.0,10534000000.0,2201100000.0,224170000.0,
Pbr000724.1,436320000.0,356040000.0,275500000.0,156360000.0,317830000.0,272020000.0
Pbr000725.1,5322300000.0,4124300000.0,6339400000.0,3794500000.0,10362000000.0,13250000000.0
Pbr000728.1,6420600000.0,4423500000.0,14134000000.0,12053000000.0,10380000000.0,11074000000.0
Pbr000730.1,,,,,,
Pbr000731.1,,,,,,96910000.0
Pbr000733.1,,85024000.0,,,,
Pbr000735.1,3527000000.0,1583700000.0,152920000.0,231820000.0,,16275000.0
Pbr000736.1,876720000.0,931600000.0,221340000.0,37680000.0,,
Pbr000738.2,4338500000.0,4743000000.0,1050400000.0,47903000.0,,
Pbr000740.1,,52503000.0,,,32060000.0,
Pbr000741.1,1814400000.0,1115600000.0,1812800000.0,2341300000.0,3985500000.0,3448300000.0
Pbr000742.1,,,,,,
Pbr000743.2,87193000.0,28293000.0,,55867000.0,47465000.0,73892000.0
Pbr000745.1,,,,,,
Pbr000746.1,2276300000.0,3991200000.0,2680300000.0,2833000000.0,2191100000.0,2400700000.0
Pbr000747.1,417880000.0,536420000.0,124700000.0,,,
Pbr000749.2,,,,,,
Pbr000751.2,15068000000.0,21131000000.0,25189000000.0,37172000000.0,61442000000.0,65244000000.0
Pbr000752.1,3756000000.0,6575100000.0,8645600000.0,13125000000.0,26579000000.0,28827000000.0
Pbr000754.1,5492700000.0,4617900000.0,6365100000.0,11104000000.0,6053700000.0,9112700000.0
Pbr000755.1,79575000000.0,91041000000.0,68611000000.0,80591000000.0,48857000000.0,76530000000.0
Pbr000757.1,371980000.0,765630000.0,396610000.0,230260000.0,451510000.0,181320000.0
Pbr000762.1,800580000.0,2552900000.0,5311200000.0,7380100000.0,7233300000.0,7566200000.0
Pbr000764.1,667980000.0,597770000.0,352510000.0,173620000.0,257510000.0,272130000.0
Pbr000766.1,834650000.0,334640000.0,,,,
Pbr000767.1,,20024000.0,,,,
Pbr000768.2,14709000000.0,7111200000.0,3831300000.0,4230600000.0,3961100000.0,2531600000.0
Pbr000770.1,847000000.0,1143900000.0,973050000.0,1152300000.0,1698600000.0,1887500000.0
Pbr000771.1,3101700000.0,1554000000.0,447210000.0,161910000.0,1375200000.0,900280000.0
